"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Russian Federation","2012","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2013","143201730",""
"Russian Federation","2012","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2013","1837406",""
"Russian Federation","2012","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2013","8533208",""
"Russian Federation","2012","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2013","1722170",""
"Russian Federation","2012","Total","Both Sexes","1 - 4","Estimate - de jure","Final figure, complete","2013","6695802",""
"Russian Federation","2012","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2013","1670080",""
"Russian Federation","2012","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2013","1676178",""
"Russian Federation","2012","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2013","1627374",""
"Russian Federation","2012","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2013","1520797",""
"Russian Federation","2012","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2013","7350838",""
"Russian Federation","2012","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2013","1462321",""
"Russian Federation","2012","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2013","1469167",""
"Russian Federation","2012","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2013","1465243",""
"Russian Federation","2012","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2013","1433310",""
"Russian Federation","2012","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2013","1364566",""
"Russian Federation","2012","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2013","6628125",""
"Russian Federation","2012","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2013","1335988",""
"Russian Federation","2012","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2013","1313224",""
"Russian Federation","2012","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2013","1302792",""
"Russian Federation","2012","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2013","1311555",""
"Russian Federation","2012","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2013","1326636",""
"Russian Federation","2012","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2013","7391866",""
"Russian Federation","2012","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2013","1401381",""
"Russian Federation","2012","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2013","1475691",""
"Russian Federation","2012","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2013","1525277",""
"Russian Federation","2012","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2013","1662881",""
"Russian Federation","2012","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2013","1885012",""
"Russian Federation","2012","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2013","11223730",""
"Russian Federation","2012","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2013","2132974",""
"Russian Federation","2012","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2013","2310715",""
"Russian Federation","2012","Total","Both Sexes","23","Estimate - de jure","Final figure, complete","2013","2392954",""
"Russian Federation","2012","Total","Both Sexes","24","Estimate - de jure","Final figure, complete","2013","2502075",""
"Russian Federation","2012","Total","Both Sexes","25","Estimate - de jure","Final figure, complete","2013","2549116",""
"Russian Federation","2012","Total","Both Sexes","25 - 29","Estimate - de jure","Final figure, complete","2013","12442007",""
"Russian Federation","2012","Total","Both Sexes","26","Estimate - de jure","Final figure, complete","2013","2523333",""
"Russian Federation","2012","Total","Both Sexes","27","Estimate - de jure","Final figure, complete","2013","2475203",""
"Russian Federation","2012","Total","Both Sexes","28","Estimate - de jure","Final figure, complete","2013","2470933",""
"Russian Federation","2012","Total","Both Sexes","29","Estimate - de jure","Final figure, complete","2013","2423422",""
"Russian Federation","2012","Total","Both Sexes","30","Estimate - de jure","Final figure, complete","2013","2293939",""
"Russian Federation","2012","Total","Both Sexes","30 - 34","Estimate - de jure","Final figure, complete","2013","11231149",""
"Russian Federation","2012","Total","Both Sexes","31","Estimate - de jure","Final figure, complete","2013","2311493",""
"Russian Federation","2012","Total","Both Sexes","32","Estimate - de jure","Final figure, complete","2013","2289820",""
"Russian Federation","2012","Total","Both Sexes","33","Estimate - de jure","Final figure, complete","2013","2188498",""
"Russian Federation","2012","Total","Both Sexes","34","Estimate - de jure","Final figure, complete","2013","2147399",""
"Russian Federation","2012","Total","Both Sexes","35","Estimate - de jure","Final figure, complete","2013","2122406",""
"Russian Federation","2012","Total","Both Sexes","35 - 39","Estimate - de jure","Final figure, complete","2013","10419383",""
"Russian Federation","2012","Total","Both Sexes","36","Estimate - de jure","Final figure, complete","2013","2140835",""
"Russian Federation","2012","Total","Both Sexes","37","Estimate - de jure","Final figure, complete","2013","2108655",""
"Russian Federation","2012","Total","Both Sexes","38","Estimate - de jure","Final figure, complete","2013","2036806",""
"Russian Federation","2012","Total","Both Sexes","39","Estimate - de jure","Final figure, complete","2013","2010681",""
"Russian Federation","2012","Total","Both Sexes","40","Estimate - de jure","Final figure, complete","2013","1978248",""
"Russian Federation","2012","Total","Both Sexes","40 - 44","Estimate - de jure","Final figure, complete","2013","9451487",""
"Russian Federation","2012","Total","Both Sexes","41","Estimate - de jure","Final figure, complete","2013","1979874",""
"Russian Federation","2012","Total","Both Sexes","42","Estimate - de jure","Final figure, complete","2013","1915761",""
"Russian Federation","2012","Total","Both Sexes","43","Estimate - de jure","Final figure, complete","2013","1802108",""
"Russian Federation","2012","Total","Both Sexes","44","Estimate - de jure","Final figure, complete","2013","1775496",""
"Russian Federation","2012","Total","Both Sexes","45","Estimate - de jure","Final figure, complete","2013","1790912",""
"Russian Federation","2012","Total","Both Sexes","45 - 49","Estimate - de jure","Final figure, complete","2013","9784092",""
"Russian Federation","2012","Total","Both Sexes","46","Estimate - de jure","Final figure, complete","2013","1872047",""
"Russian Federation","2012","Total","Both Sexes","47","Estimate - de jure","Final figure, complete","2013","1942584",""
"Russian Federation","2012","Total","Both Sexes","48","Estimate - de jure","Final figure, complete","2013","2033719",""
"Russian Federation","2012","Total","Both Sexes","49","Estimate - de jure","Final figure, complete","2013","2144830",""
"Russian Federation","2012","Total","Both Sexes","50","Estimate - de jure","Final figure, complete","2013","2236913",""
"Russian Federation","2012","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2013","11498441",""
"Russian Federation","2012","Total","Both Sexes","51","Estimate - de jure","Final figure, complete","2013","2372965",""
"Russian Federation","2012","Total","Both Sexes","52","Estimate - de jure","Final figure, complete","2013","2371075",""
"Russian Federation","2012","Total","Both Sexes","53","Estimate - de jure","Final figure, complete","2013","2278286",""
"Russian Federation","2012","Total","Both Sexes","54","Estimate - de jure","Final figure, complete","2013","2239202",""
"Russian Federation","2012","Total","Both Sexes","55","Estimate - de jure","Final figure, complete","2013","2165174",""
"Russian Federation","2012","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2013","10298414",""
"Russian Federation","2012","Total","Both Sexes","56","Estimate - de jure","Final figure, complete","2013","2125962",""
"Russian Federation","2012","Total","Both Sexes","57","Estimate - de jure","Final figure, complete","2013","2115403",""
"Russian Federation","2012","Total","Both Sexes","58","Estimate - de jure","Final figure, complete","2013","1995933",""
"Russian Federation","2012","Total","Both Sexes","59","Estimate - de jure","Final figure, complete","2013","1895942",""
"Russian Federation","2012","Total","Both Sexes","60","Estimate - de jure","Final figure, complete","2013","1859691",""
"Russian Federation","2012","Total","Both Sexes","60 - 64","Estimate - de jure","Final figure, complete","2013","8534857",""
"Russian Federation","2012","Total","Both Sexes","61","Estimate - de jure","Final figure, complete","2013","1804633",""
"Russian Federation","2012","Total","Both Sexes","62","Estimate - de jure","Final figure, complete","2013","1795392",""
"Russian Federation","2012","Total","Both Sexes","63","Estimate - de jure","Final figure, complete","2013","1631039",""
"Russian Federation","2012","Total","Both Sexes","64","Estimate - de jure","Final figure, complete","2013","1444102",""
"Russian Federation","2012","Total","Both Sexes","65","Estimate - de jure","Final figure, complete","2013","1336626",""
"Russian Federation","2012","Total","Both Sexes","65 - 69","Estimate - de jure","Final figure, complete","2013","4174510",""
"Russian Federation","2012","Total","Both Sexes","66","Estimate - de jure","Final figure, complete","2013","1004309",""
"Russian Federation","2012","Total","Both Sexes","67","Estimate - de jure","Final figure, complete","2013","661305",""
"Russian Federation","2012","Total","Both Sexes","68","Estimate - de jure","Final figure, complete","2013","537884",""
"Russian Federation","2012","Total","Both Sexes","69","Estimate - de jure","Final figure, complete","2013","634386",""
