year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80 +
1959,13352720,0,0,0,0,12415159,0,0,0,0,8501664,0,0,0,0,8974987,0,0,0,0,11551916,0,0,0,0,10591066,0,0,0,0,11102884,0,0,0,0,6423281,0,0,0,0,6176714,0,0,0,0,7167049,0,0,0,0,5964757,0,0,0,0,4751567,0,0,0,0,6253359,0,0,0,0,0,0,0,0,0,3344648,0,0,0,0,0,0,0,0,0,958636
1970,9318645,0,0,0,0,11967268,0,0,0,0,13172421,0,0,0,0,12304735,0,0,0,0,9791308,0,0,0,0,7144211,0,0,0,0,11741747,0,0,0,0,9344676,0,0,0,0,10940319,0,0,0,0,6707558,0,0,0,0,5256496,0,0,0,0,6858664,0,0,0,0,9645853,0,0,0,0,0,0,0,0,0,4267970,0,0,0,0,0,0,0,0,0,1503165
1979,2106752,8416015,0,0,0,9706727,0,0,0,0,9512226,0,0,0,0,12385282,0,0,0,0,12995076,0,0,0,0,11901923,0,0,0,0,8015759,0,0,0,0,8398533,0,0,0,0,10485347,0,0,0,0,9376470,0,0,0,0,9715643,0,0,0,0,5595348,0,0,0,0,5065454,0,0,0,0,5492823,0,0,0,0,3956281,0,0,0,0,2414237,0,0,0,0,1829207
1989,2326547,2455783,2472804,2369760,2406666,2464297,2318182,2210192,2203203,2164468,2158465,2121863,2143331,2098647,2069933,2010966,2051805,2000856,1984492,1919492,1846167,1851698,1959185,1992260,2105310,2290201,2427220,2565348,2660906,2613559,2628167,2598526,2526605,2540886,2568625,2359599,2387005,2336376,2248521,2352600,2011086,1919835,1807772,1085616,838312,778407,1121302,1891086,1948512,2215593,2302912,2274135,1924274,1703823,1388389,1360980,1652510,1655841,1879185,1850643,1976504,1816256,1710080,1489272,1367949,1203969,985836,841222,756241,722944,875373,563254,618262,728794,867252,760760,781345,638857,645441,506757,2659914
1991,1870366,2037055,2210916,2381461,2462057,2422606,2392094,2439151,2393902,2265937,2211351,2189694,2167713,2145614,2138219,2128120,2085976,2039065,2036867,2019616,1980153,1934210,1859867,1833142,1893040,1966172,2045521,2193927,2354972,2495895,2603489,2626488,2617718,2602733,2551691,2522740,2541070,2446923,2366390,2355585,2280987,2296404,2151667,1934748,1830172,1399945,940353,793252,962381,1500885,1886934,2061846,2210273,2234429,2053107,1760312,1490330,1327823,1473321,1615678,1695551,1797955,1825203,1789416,1682826,1510220,1345813,1198850,1013507,846108,735144,701112,700412,615679,550797,598361,698765,697078,650738,593192,2963755
1992,1680008,1870955,2040268,2214815,2385320,2465710,2426006,2395801,2442488,2396683,2269530,2214670,2192947,2170568,2148984,2144737,2131651,2078475,2034303,2028046,2019482,1983567,1929643,1852287,1824409,1885048,1960235,2038568,2188072,2349440,2490142,2596995,2619596,2610598,2595877,2544228,2515780,2533074,2439138,2358013,2346087,2271295,2285332,2140346,1923757,1818772,1390205,932709,786268,953651,1486313,1868129,2039883,2185834,2207898,2026926,1736109,1468427,1306721,1449023,1585912,1662499,1760227,1783833,1745856,1639337,1469507,1306659,1162044,979460,815339,706076,672082,666165,583556,521732,561739,652746,646592,599028,3099943
1993,1480467,1680555,1874356,2044704,2219871,2390343,2471139,2431948,2400931,2447579,2401808,2274707,2219600,2197727,2175989,2155289,2147613,2125957,2075111,2028900,2030589,2025960,1983129,1927525,1848849,1822092,1883453,1958034,2036745,2186510,2347476,2487369,2593030,2615232,2606172,2590319,2538606,2509849,2525928,2431366,2348933,2336024,2260520,2272905,2127359,1911250,1805770,1378807,924066,778117,942810,1470017,1846062,2014279,2157333,2177095,1996756,1708508,1442945,1282403,1419697,1552305,1624314,1717286,1737273,1696461,1591055,1423560,1263647,1120851,942115,781283,674222,640148,629346,548244,490529,522766,603674,592578,3199771
1994,1409618,1483960,1687549,1881847,2053494,2228519,2399541,2480796,2440701,2409792,2456299,2409869,2282232,2227076,2205286,2184542,2159404,2141047,2128008,2077269,2038255,2043467,2034141,1992083,1935779,1856390,1829910,1890087,1964427,2041984,2192133,2351525,2489898,2594448,2615643,2604788,2588274,2535273,2505503,2519851,2423247,2339873,2325879,2248411,2258981,2112496,1897655,1791113,1365859,913868,767560,931356,1450797,1820175,1984939,2123564,2141293,1961761,1676074,1413088,1252810,1385913,1512656,1579514,1667251,1683396,1639982,1536030,1371735,1215349,1074723,900147,743413,639243,605276,588945,509810,456924,480704,550752,3254543
1995,1392301,1405741,1494670,1699231,1894521,2066027,2239643,2408751,2489723,2449253,2418234,2464384,2417005,2289147,2233659,2212940,2188781,2151210,2144254,2132162,2086096,2051145,2054355,2045830,2004076,1945834,1865963,1838377,1897645,1970501,2048360,2196944,2355024,2491789,2595505,2613964,2602392,2584350,2530001,2499033,2509688,2413220,2328998,2312922,2234087,2241764,2096225,1882033,1773943,1351548,900905,757622,918809,1429914,1792261,1952178,2087619,2102636,1924245,1641746,1380383,1221969,1349654,1470226,1531583,1614182,1626347,1580766,1478697,1318510,1164575,1027353,856882,704847,603669,569783,547375,471548,422960,438661,3272503
1999,1247988,5273255,0,0,0,8624225,0,0,0,0,12073276,0,0,0,0,11640353,0,0,0,0,10694954,0,0,0,0,10132910,0,0,0,0,9601516,0,0,0,0,12142415,0,0,0,0,12503481,0,0,0,0,11209888,0,0,0,0,7681472,0,0,0,0,6440897,0,0,0,0,8409982,0,0,0,0,6341925,0,0,0,0,6028319,0,0,0,0,2941515,0,0,0,0,2955022
