"Country or Area","Year","Sex","Age","Value","Value Footnotes"
"United States of America","2016","Both Sexes","Total","323127513","1,2"
"United States of America","2016","Both Sexes","0","3970145","1,2"
"United States of America","2016","Both Sexes","0 - 4","19927037","1,2"
"United States of America","2016","Both Sexes","1","3995008","1,2"
"United States of America","2016","Both Sexes","1 - 4","15956892","1,2"
"United States of America","2016","Both Sexes","2","3992154","1,2"
"United States of America","2016","Both Sexes","3","3982074","1,2"
"United States of America","2016","Both Sexes","4","3987656","1,2"
"United States of America","2016","Both Sexes","5","4032515","1,2"
"United States of America","2016","Both Sexes","5 - 9","20429799","1,2"
"United States of America","2016","Both Sexes","6","4029655","1,2"
"United States of America","2016","Both Sexes","7","4029991","1,2"
"United States of America","2016","Both Sexes","8","4159114","1,2"
"United States of America","2016","Both Sexes","9","4178524","1,2"
"United States of America","2016","Both Sexes","10","4144019","1,2"
"United States of America","2016","Both Sexes","10 - 14","20618233","1,2"
"United States of America","2016","Both Sexes","11","4131222","1,2"
"United States of America","2016","Both Sexes","12","4139558","1,2"
"United States of America","2016","Both Sexes","13","4109703","1,2"
"United States of America","2016","Both Sexes","14","4093731","1,2"
"United States of America","2016","Both Sexes","15","4196991","1,2"
"United States of America","2016","Both Sexes","15 - 19","21129999","1,2"
"United States of America","2016","Both Sexes","16","4265224","1,2"
"United States of America","2016","Both Sexes","17","4205001","1,2"
"United States of America","2016","Both Sexes","18","4219303","1,2"
"United States of America","2016","Both Sexes","19","4243480","1,2"
"United States of America","2016","Both Sexes","20","4286221","1,2"
"United States of America","2016","Both Sexes","20 - 24","22381028","1,2"
"United States of America","2016","Both Sexes","21","4386854","1,2"
"United States of America","2016","Both Sexes","22","4480904","1,2"
"United States of America","2016","Both Sexes","23","4552952","1,2"
"United States of America","2016","Both Sexes","24","4674097","1,2"
"United States of America","2016","Both Sexes","25","4758352","1,2"
"United States of America","2016","Both Sexes","25 - 29","22890884","1,2"
"United States of America","2016","Both Sexes","26","4747254","1,2"
"United States of America","2016","Both Sexes","27","4559206","1,2"
"United States of America","2016","Both Sexes","28","4451507","1,2"
"United States of America","2016","Both Sexes","29","4374565","1,2"
"United States of America","2016","Both Sexes","30","4392155","1,2"
"United States of America","2016","Both Sexes","30 - 34","21786359","1,2"
"United States of America","2016","Both Sexes","31","4423807","1,2"
"United States of America","2016","Both Sexes","32","4283076","1,2"
"United States of America","2016","Both Sexes","33","4345786","1,2"
"United States of America","2016","Both Sexes","34","4341535","1,2"
"United States of America","2016","Both Sexes","35","4293125","1,2"
"United States of America","2016","Both Sexes","35 - 39","20773905","1,2"
"United States of America","2016","Both Sexes","36","4375562","1,2"
"United States of America","2016","Both Sexes","37","4103498","1,2"
"United States of America","2016","Both Sexes","38","4022119","1,2"
"United States of America","2016","Both Sexes","39","3979601","1,2"
"United States of America","2016","Both Sexes","40","3862150","1,2"
"United States of America","2016","Both Sexes","40 - 44","19696251","1,2"
"United States of America","2016","Both Sexes","41","3979596","1,2"
"United States of America","2016","Both Sexes","42","3854553","1,2"
"United States of America","2016","Both Sexes","43","3912307","1,2"
"United States of America","2016","Both Sexes","44","4087645","1,2"
"United States of America","2016","Both Sexes","45","4319616","1,2"
"United States of America","2016","Both Sexes","45 - 49","20947623","1,2"
"United States of America","2016","Both Sexes","46","4371961","1,2"
"United States of America","2016","Both Sexes","47","4142964","1,2"
"United States of America","2016","Both Sexes","48","4055074","1,2"
"United States of America","2016","Both Sexes","49","4058008","1,2"
"United States of America","2016","Both Sexes","50","4131293","1,2"
"United States of America","2016","Both Sexes","50 - 54","21839056","1,2"
"United States of America","2016","Both Sexes","51","4375892","1,2"
"United States of America","2016","Both Sexes","52","4452636","1,2"
"United States of America","2016","Both Sexes","53","4445605","1,2"
"United States of America","2016","Both Sexes","54","4433630","1,2"
"United States of America","2016","Both Sexes","55","4484565","1,2"
"United States of America","2016","Both Sexes","55 - 59","21980108","1,2"
"United States of America","2016","Both Sexes","56","4518758","1,2"
"United States of America","2016","Both Sexes","57","4362807","1,2"
"United States of America","2016","Both Sexes","58","4332953","1,2"
"United States of America","2016","Both Sexes","59","4281025","1,2"
