year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80 +
1948,15106000.0,0.0,0.0,0.0,0.0,12893000.0,0.0,0.0,0.0,0.0,10880000.0,0.0,0.0,0.0,0.0,10982000.0,0.0,0.0,0.0,0.0,12014000.0,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,0.0,0.0,11240000.0,0.0,0.0,0.0,0.0,10665000.0,0.0,0.0,0.0,0.0,9765000.0,0.0,0.0,0.0,0.0,8935000.0,0.0,0.0,0.0,0.0,8072000.0,0.0,0.0,0.0,0.0,7222000.0,0.0,0.0,0.0,0.0,5850000.0,0.0,0.0,0.0,0.0,4347000.0,0.0,0.0,0.0,0.0,3146000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1949,3270897.0,12534393.0,0.0,0.0,0.0,13452269.0,0.0,0.0,0.0,0.0,11161221.0,0.0,0.0,0.0,0.0,10751409.0,0.0,0.0,0.0,0.0,11884061.0,0.0,0.0,0.0,0.0,12156308.0,0.0,0.0,0.0,0.0,11348395.0,0.0,0.0,0.0,0.0,10842651.0,0.0,0.0,0.0,0.0,9912068.0,0.0,0.0,0.0,0.0,9092945.0,0.0,0.0,0.0,0.0,8155221.0,0.0,0.0,0.0,0.0,7341050.0,0.0,0.0,0.0,0.0,6042100.0,0.0,0.0,0.0,0.0,4471379.0,0.0,0.0,0.0,0.0,3210665.0,0.0,0.0,0.0,0.0,2084861.0,0.0,0.0,0.0,0.0,1503473.0
1950,3146948.0,3274880.0,3525465.0,3578440.0,2691955.0,2720795.0,2774070.0,2830180.0,2560165.0,2349465.0,2321085.0,2229155.0,2298150.0,2189720.0,2137390.0,2130005.0,2079990.0,2093745.0,2182290.0,2159195.0,2187885.0,2275650.0,2288375.0,2332535.0,2352860.0,2488225.0,2418255.0,2381345.0,2493850.0,2400780.0,2521815.0,2189115.0,2316880.0,2192480.0,2238650.0,2349650.0,2217395.0,2167805.0,2252110.0,2158225.0,2345870.0,1857085.0,2168535.0,1929090.0,1794080.0,1958315.0,1738630.0,1708435.0,1721510.0,1870560.0,1984415.0,1407210.0,1662355.0,1543880.0,1576810.0,1545505.0,1467570.0,1408355.0,1427515.0,1313570.0,1462815.0,1100195.0,1207860.0,1140595.0,1099290.0,1318720.0,977665.0,964485.0,917235.0,819685.0,880410.0,622005.0,704105.0,625655.0,574490.0,579525.0,465580.0,396145.0,383045.0,326080.0,2278921.0
1951,3271000.0,13950000.0,0.0,0.0,0.0,13670000.0,0.0,0.0,0.0,0.0,11380000.0,0.0,0.0,0.0,0.0,10621000.0,0.0,0.0,0.0,0.0,11502000.0,0.0,0.0,0.0,0.0,12296000.0,0.0,0.0,0.0,0.0,11786000.0,0.0,0.0,0.0,0.0,11393000.0,0.0,0.0,0.0,0.0,10502000.0,0.0,0.0,0.0,0.0,9289000.0,0.0,0.0,0.0,0.0,8401000.0,0.0,0.0,0.0,0.0,7421000.0,0.0,0.0,0.0,0.0,6233000.0,0.0,0.0,0.0,0.0,5049000.0,0.0,0.0,0.0,0.0,3578000.0,0.0,0.0,0.0,0.0,2203000.0,0.0,0.0,0.0,0.0,1813000.0
1952,3346000.0,13813000.0,0.0,0.0,0.0,14936000.0,0.0,0.0,0.0,0.0,11776000.0,0.0,0.0,0.0,0.0,10642000.0,0.0,0.0,0.0,0.0,11333000.0,0.0,0.0,0.0,0.0,12200000.0,0.0,0.0,0.0,0.0,11997000.0,0.0,0.0,0.0,0.0,11423000.0,0.0,0.0,0.0,0.0,10723000.0,0.0,0.0,0.0,0.0,9476000.0,0.0,0.0,0.0,0.0,8484000.0,0.0,0.0,0.0,0.0,7536000.0,0.0,0.0,0.0,0.0,6346000.0,0.0,0.0,0.0,0.0,5123000.0,0.0,0.0,0.0,0.0,3721000.0,0.0,0.0,0.0,0.0,2266000.0,0.0,0.0,0.0,0.0,1887000.0
1953,3442000.0,14006000.0,0.0,0.0,0.0,15560000.0,0.0,0.0,0.0,0.0,12436000.0,0.0,0.0,0.0,0.0,10810000.0,0.0,0.0,0.0,0.0,11098000.0,0.0,0.0,0.0,0.0,12045000.0,0.0,0.0,0.0,0.0,12198000.0,0.0,0.0,0.0,0.0,11438000.0,0.0,0.0,0.0,0.0,10922000.0,0.0,0.0,0.0,0.0,9674000.0,0.0,0.0,0.0,0.0,8569000.0,0.0,0.0,0.0,0.0,7645000.0,0.0,0.0,0.0,0.0,6462000.0,0.0,0.0,0.0,0.0,5188000.0,0.0,0.0,0.0,0.0,3856000.0,0.0,0.0,0.0,0.0,2337000.0,0.0,0.0,0.0,0.0,1951000.0
1954,3536000.0,14291000.0,0.0,0.0,0.0,16358000.0,0.0,0.0,0.0,0.0,12893000.0,0.0,0.0,0.0,0.0,11043000.0,0.0,0.0,0.0,0.0,10880000.0,0.0,0.0,0.0,0.0,11892000.0,0.0,0.0,0.0,0.0,12344000.0,0.0,0.0,0.0,0.0,11495000.0,0.0,0.0,0.0,0.0,11092000.0,0.0,0.0,0.0,0.0,9884000.0,0.0,0.0,0.0,0.0,8679000.0,0.0,0.0,0.0,0.0,7753000.0,0.0,0.0,0.0,0.0,6580000.0,0.0,0.0,0.0,0.0,5263000.0,0.0,0.0,0.0,0.0,3975000.0,0.0,0.0,0.0,0.0,2434000.0,0.0,0.0,0.0,0.0,2027000.0
1955,3611000.0,14694000.0,0.0,0.0,0.0,17151000.0,0.0,0.0,0.0,0.0,13343000.0,0.0,0.0,0.0,0.0,11191000.0,0.0,0.0,0.0,0.0,10775000.0,0.0,0.0,0.0,0.0,11752000.0,0.0,0.0,0.0,0.0,12400000.0,0.0,0.0,0.0,0.0,11608000.0,0.0,0.0,0.0,0.0,11217000.0,0.0,0.0,0.0,0.0,10096000.0,0.0,0.0,0.0,0.0,8815000.0,0.0,0.0,0.0,0.0,7854000.0,0.0,0.0,0.0,0.0,6694000.0,0.0,0.0,0.0,0.0,5349000.0,0.0,0.0,0.0,0.0,4067000.0,0.0,0.0,0.0,0.0,2546000.0,0.0,0.0,0.0,0.0,2107000.0
1956,3656000.0,15038000.0,0.0,0.0,0.0,18060000.0,0.0,0.0,0.0,0.0,13721000.0,0.0,0.0,0.0,0.0,11430000.0,0.0,0.0,0.0,0.0,10725000.0,0.0,0.0,0.0,0.0,11629000.0,0.0,0.0,0.0,0.0,12383000.0,0.0,0.0,0.0,0.0,11779000.0,0.0,0.0,0.0,0.0,11301000.0,0.0,0.0,0.0,0.0,10316000.0,0.0,0.0,0.0,0.0,8980000.0,0.0,0.0,0.0,0.0,7947000.0,0.0,0.0,0.0,0.0,6806000.0,0.0,0.0,0.0,0.0,5440000.0,0.0,0.0,0.0,0.0,4139000.0,0.0,0.0,0.0,0.0,2655000.0,0.0,0.0,0.0,0.0,2173000.0
1957,3802000.0,15353000.0,0.0,0.0,0.0,17991000.0,0.0,0.0,0.0,0.0,14985000.0,0.0,0.0,0.0,0.0,11826000.0,0.0,0.0,0.0,0.0,10746000.0,0.0,0.0,0.0,0.0,11463000.0,0.0,0.0,0.0,0.0,12292000.0,0.0,0.0,0.0,0.0,11996000.0,0.0,0.0,0.0,0.0,11337000.0,0.0,0.0,0.0,0.0,10539000.0,0.0,0.0,0.0,0.0,9168000.0,0.0,0.0,0.0,0.0,8033000.0,0.0,0.0,0.0,0.0,6919000.0,0.0,0.0,0.0,0.0,5544000.0,0.0,0.0,0.0,0.0,4194000.0,0.0,0.0,0.0,0.0,2777000.0,0.0,0.0,0.0,0.0,2237000.0
