,age,group,plus,zero
1948,0,4,75,0
1949,0,4,85,1
1950,1,9,100,1
1951,0,4,85,1
1952,0,4,85,1
1953,0,4,85,1
1954,0,4,85,1
1955,0,4,85,1
1956,0,4,85,1
1957,0,4,85,1
1958,0,4,85,1
1959,0,4,85,1
1960,1,4,75,1
1961,0,4,85,1
1962,0,4,85,1
1963,0,4,85,1
1964,0,4,85,1
1965,0,4,85,1
1966,0,4,85,1
1967,0,4,85,1
1968,1,4,85,1
1969,0,4,85,1
1970,0,4,85,1
1971,0,4,85,1
1972,0,4,75,0
1973,1,4,85,1
1974,0,4,85,1
1975,0,4,85,0
1976,0,4,85,1
1977,0,4,85,1
1978,1,4,85,1
1979,1,4,85,1
1980,1,4,85,1
1981,0,4,85,1
1982,1,4,85,1
1983,0,4,85,1
1984,1,4,85,1
1985,1,4,85,1
1986,1,4,85,1
1987,1,0,85,1
1988,0,4,85,1
1989,1,0,85,1
1990,1,4,85,1
1991,1,4,100,1
1992,0,9,85,0
1993,1,4,100,1
1994,1,4,100,1
1995,1,9,100,1
1996,1,9,100,1
1997,1,9,100,1
1998,1,0,100,1
1999,1,0,100,1
2000,1,4,85,1
2001,0,4,100,0
2002,0,4,85,1
2003,0,4,85,1
2004,1,4,100,1
2005,1,4,100,1
2006,1,4,100,1
2007,1,4,100,1
2008,1,4,100,1
2009,1,4,100,1
2010,1,4,100,1
2012,1,4,100,1
2015,1,4,100,1
2016,1,4,100,1
