"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Uganda","2014","Total","Both Sexes","Total","Census - de facto - complete tabulation","Final figure, complete","2017","34634650",""
"Uganda","2014","Total","Both Sexes","0","Census - de facto - complete tabulation","Final figure, complete","2017","1222754",""
"Uganda","2014","Total","Both Sexes","0 - 4","Census - de facto - complete tabulation","Final figure, complete","2017","6131028",""
"Uganda","2014","Total","Both Sexes","1","Census - de facto - complete tabulation","Final figure, complete","2017","1158200",""
"Uganda","2014","Total","Both Sexes","2","Census - de facto - complete tabulation","Final figure, complete","2017","1243181",""
"Uganda","2014","Total","Both Sexes","3","Census - de facto - complete tabulation","Final figure, complete","2017","1277364",""
"Uganda","2014","Total","Both Sexes","4","Census - de facto - complete tabulation","Final figure, complete","2017","1229529",""
"Uganda","2014","Total","Both Sexes","5","Census - de facto - complete tabulation","Final figure, complete","2017","1150033",""
"Uganda","2014","Total","Both Sexes","5 - 9","Census - de facto - complete tabulation","Final figure, complete","2017","5551678",""
"Uganda","2014","Total","Both Sexes","6","Census - de facto - complete tabulation","Final figure, complete","2017","1189639",""
"Uganda","2014","Total","Both Sexes","7","Census - de facto - complete tabulation","Final figure, complete","2017","1114205",""
"Uganda","2014","Total","Both Sexes","8","Census - de facto - complete tabulation","Final figure, complete","2017","1104857",""
"Uganda","2014","Total","Both Sexes","9","Census - de facto - complete tabulation","Final figure, complete","2017","992944",""
"Uganda","2014","Total","Both Sexes","10","Census - de facto - complete tabulation","Final figure, complete","2017","1093227",""
"Uganda","2014","Total","Both Sexes","10 - 14","Census - de facto - complete tabulation","Final figure, complete","2017","4920443",""
"Uganda","2014","Total","Both Sexes","11","Census - de facto - complete tabulation","Final figure, complete","2017","856942",""
"Uganda","2014","Total","Both Sexes","12","Census - de facto - complete tabulation","Final figure, complete","2017","1008060",""
"Uganda","2014","Total","Both Sexes","13","Census - de facto - complete tabulation","Final figure, complete","2017","909864",""
"Uganda","2014","Total","Both Sexes","14","Census - de facto - complete tabulation","Final figure, complete","2017","1052350",""
"Uganda","2014","Total","Both Sexes","15","Census - de facto - complete tabulation","Final figure, complete","2017","817545",""
"Uganda","2014","Total","Both Sexes","15 - 19","Census - de facto - complete tabulation","Final figure, complete","2017","3956633",""
"Uganda","2014","Total","Both Sexes","16","Census - de facto - complete tabulation","Final figure, complete","2017","866057",""
"Uganda","2014","Total","Both Sexes","17","Census - de facto - complete tabulation","Final figure, complete","2017","750280",""
"Uganda","2014","Total","Both Sexes","18","Census - de facto - complete tabulation","Final figure, complete","2017","852609",""
"Uganda","2014","Total","Both Sexes","19","Census - de facto - complete tabulation","Final figure, complete","2017","670142",""
"Uganda","2014","Total","Both Sexes","20","Census - de facto - complete tabulation","Final figure, complete","2017","836438",""
"Uganda","2014","Total","Both Sexes","20 - 24","Census - de facto - complete tabulation","Final figure, complete","2017","3188611",""
"Uganda","2014","Total","Both Sexes","21","Census - de facto - complete tabulation","Final figure, complete","2017","564581",""
"Uganda","2014","Total","Both Sexes","22","Census - de facto - complete tabulation","Final figure, complete","2017","658811",""
"Uganda","2014","Total","Both Sexes","23","Census - de facto - complete tabulation","Final figure, complete","2017","543989",""
"Uganda","2014","Total","Both Sexes","24","Census - de facto - complete tabulation","Final figure, complete","2017","584792",""
"Uganda","2014","Total","Both Sexes","25","Census - de facto - complete tabulation","Final figure, complete","2017","576615",""
"Uganda","2014","Total","Both Sexes","25 - 29","Census - de facto - complete tabulation","Final figure, complete","2017","2486176",""
"Uganda","2014","Total","Both Sexes","26","Census - de facto - complete tabulation","Final figure, complete","2017","475370",""
"Uganda","2014","Total","Both Sexes","27","Census - de facto - complete tabulation","Final figure, complete","2017","477005",""
"Uganda","2014","Total","Both Sexes","28","Census - de facto - complete tabulation","Final figure, complete","2017","574109",""
"Uganda","2014","Total","Both Sexes","29","Census - de facto - complete tabulation","Final figure, complete","2017","383077",""
"Uganda","2014","Total","Both Sexes","30","Census - de facto - complete tabulation","Final figure, complete","2017","607694",""
"Uganda","2014","Total","Both Sexes","30 - 34","Census - de facto - complete tabulation","Final figure, complete","2017","1951739",""
"Uganda","2014","Total","Both Sexes","31","Census - de facto - complete tabulation","Final figure, complete","2017","304498",""
"Uganda","2014","Total","Both Sexes","32","Census - de facto - complete tabulation","Final figure, complete","2017","431841",""
"Uganda","2014","Total","Both Sexes","33","Census - de facto - complete tabulation","Final figure, complete","2017","250196",""
"Uganda","2014","Total","Both Sexes","34","Census - de facto - complete tabulation","Final figure, complete","2017","357510",""
"Uganda","2014","Total","Both Sexes","35","Census - de facto - complete tabulation","Final figure, complete","2017","435124",""
"Uganda","2014","Total","Both Sexes","35 - 39","Census - de facto - complete tabulation","Final figure, complete","2017","1535837",""
"Uganda","2014","Total","Both Sexes","36","Census - de facto - complete tabulation","Final figure, complete","2017","279273",""
"Uganda","2014","Total","Both Sexes","37","Census - de facto - complete tabulation","Final figure, complete","2017","257145",""
"Uganda","2014","Total","Both Sexes","38","Census - de facto - complete tabulation","Final figure, complete","2017","315493",""
"Uganda","2014","Total","Both Sexes","39","Census - de facto - complete tabulation","Final figure, complete","2017","248802",""
"Uganda","2014","Total","Both Sexes","40","Census - de facto - complete tabulation","Final figure, complete","2017","416407",""
"Uganda","2014","Total","Both Sexes","40 - 44","Census - de facto - complete tabulation","Final figure, complete","2017","1272417",""
"Uganda","2014","Total","Both Sexes","41","Census - de facto - complete tabulation","Final figure, complete","2017","195357",""
"Uganda","2014","Total","Both Sexes","42","Census - de facto - complete tabulation","Final figure, complete","2017","268931",""
"Uganda","2014","Total","Both Sexes","43","Census - de facto - complete tabulation","Final figure, complete","2017","187813",""
"Uganda","2014","Total","Both Sexes","44","Census - de facto - complete tabulation","Final figure, complete","2017","203909",""
"Uganda","2014","Total","Both Sexes","45","Census - de facto - complete tabulation","Final figure, complete","2017","272944",""
"Uganda","2014","Total","Both Sexes","45 - 49","Census - de facto - complete tabulation","Final figure, complete","2017","921124",""
"Uganda","2014","Total","Both Sexes","46","Census - de facto - complete tabulation","Final figure, complete","2017","169598",""
"Uganda","2014","Total","Both Sexes","47","Census - de facto - complete tabulation","Final figure, complete","2017","146825",""
"Uganda","2014","Total","Both Sexes","48","Census - de facto - complete tabulation","Final figure, complete","2017","198473",""
"Uganda","2014","Total","Both Sexes","49","Census - de facto - complete tabulation","Final figure, complete","2017","133284",""
"Uganda","2014","Total","Both Sexes","50","Census - de facto - complete tabulation","Final figure, complete","2017","262881",""
"Uganda","2014","Total","Both Sexes","50 - 54","Census - de facto - complete tabulation","Final figure, complete","2017","808103",""
"Uganda","2014","Total","Both Sexes","51","Census - de facto - complete tabulation","Final figure, complete","2017","121701",""
"Uganda","2014","Total","Both Sexes","52","Census - de facto - complete tabulation","Final figure, complete","2017","178993",""
"Uganda","2014","Total","Both Sexes","53","Census - de facto - complete tabulation","Final figure, complete","2017","101343",""
"Uganda","2014","Total","Both Sexes","54","Census - de facto - complete tabulation","Final figure, complete","2017","143185",""
"Uganda","2014","Total","Both Sexes","55","Census - de facto - complete tabulation","Final figure, complete","2017","124004",""
"Uganda","2014","Total","Both Sexes","55 - 59","Census - de facto - complete tabulation","Final figure, complete","2017","480284",""
"Uganda","2014","Total","Both Sexes","56","Census - de facto - complete tabulation","Final figure, complete","2017","113926",""
"Uganda","2014","Total","Both Sexes","57","Census - de facto - complete tabulation","Final figure, complete","2017","79251",""
"Uganda","2014","Total","Both Sexes","58","Census - de facto - complete tabulation","Final figure, complete","2017","92870",""
"Uganda","2014","Total","Both Sexes","59","Census - de facto - complete tabulation","Final figure, complete","2017","70233",""
"Uganda","2014","Total","Both Sexes","60","Census - de facto - complete tabulation","Final figure, complete","2017","169033",""
"Uganda","2014","Total","Both Sexes","60 - 64","Census - de facto - complete tabulation","Final figure, complete","2017","440053",""
"Uganda","2014","Total","Both Sexes","61","Census - de facto - complete tabulation","Final figure, complete","2017","57684",""
"Uganda","2014","Total","Both Sexes","62","Census - de facto - complete tabulation","Final figure, complete","2017","83838",""
"Uganda","2014","Total","Both Sexes","63","Census - de facto - complete tabulation","Final figure, complete","2017","54488",""
"Uganda","2014","Total","Both Sexes","64","Census - de facto - complete tabulation","Final figure, complete","2017","75010",""
"Uganda","2014","Total","Both Sexes","65","Census - de facto - complete tabulation","Final figure, complete","2017","92038",""
"Uganda","2014","Total","Both Sexes","65 - 69","Census - de facto - complete tabulation","Final figure, complete","2017","301150",""
"Uganda","2014","Total","Both Sexes","66","Census - de facto - complete tabulation","Final figure, complete","2017","56242",""
"Uganda","2014","Total","Both Sexes","67","Census - de facto - complete tabulation","Final figure, complete","2017","53203",""
"Uganda","2014","Total","Both Sexes","68","Census - de facto - complete tabulation","Final figure, complete","2017","53647",""
"Uganda","2014","Total","Both Sexes","69","Census - de facto - complete tabulation","Final figure, complete","2017","46020",""
"Uganda","2014","Total","Both Sexes","70","Census - de facto - complete tabulation","Final figure, complete","2017","118088",""
"Uganda","2014","Total","Both Sexes","70 - 74","Census - de facto - complete tabulation","Final figure, complete","2017","277236",""
"Uganda","2014","Total","Both Sexes","71","Census - de facto - complete tabulation","Final figure, complete","2017","31348",""
"Uganda","2014","Total","Both Sexes","72","Census - de facto - complete tabulation","Final figure, complete","2017","48284",""
"Uganda","2014","Total","Both Sexes","73","Census - de facto - complete tabulation","Final figure, complete","2017","32872",""
"Uganda","2014","Total","Both Sexes","74","Census - de facto - complete tabulation","Final figure, complete","2017","46644",""
"Uganda","2014","Total","Both Sexes","75","Census - de facto - complete tabulation","Final figure, complete","2017","49726",""
"Uganda","2014","Total","Both Sexes","75 - 79","Census - de facto - complete tabulation","Final figure, complete","2017","150473",""
"Uganda","2014","Total","Both Sexes","76","Census - de facto - complete tabulation","Final figure, complete","2017","28374",""
"Uganda","2014","Total","Both Sexes","77","Census - de facto - complete tabulation","Final figure, complete","2017","20807",""
"Uganda","2014","Total","Both Sexes","78","Census - de facto - complete tabulation","Final figure, complete","2017","30993",""
"Uganda","2014","Total","Both Sexes","79","Census - de facto - complete tabulation","Final figure, complete","2017","20573",""
"Uganda","2014","Total","Both Sexes","80","Census - de facto - complete tabulation","Final figure, complete","2017","60145",""
"Uganda","2014","Total","Both Sexes","80 - 84","Census - de facto - complete tabulation","Final figure, complete","2017","131269",""
"Uganda","2014","Total","Both Sexes","81","Census - de facto - complete tabulation","Final figure, complete","2017","16202",""
"Uganda","2014","Total","Both Sexes","82","Census - de facto - complete tabulation","Final figure, complete","2017","19875",""
"Uganda","2014","Total","Both Sexes","83","Census - de facto - complete tabulation","Final figure, complete","2017","14133",""
"Uganda","2014","Total","Both Sexes","84","Census - de facto - complete tabulation","Final figure, complete","2017","20914",""
"Uganda","2014","Total","Both Sexes","85","Census - de facto - complete tabulation","Final figure, complete","2017","18007",""
"Uganda","2014","Total","Both Sexes","85 - 89","Census - de facto - complete tabulation","Final figure, complete","2017","51776",""
