year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80 +
1969,274353.0,399644.0,404576.0,387065.0,371631.0,332039.0,334141.0,273461.0,293484.0,237415.0,269116.0,175010.0,255798.0,194230.0,202328.0,175041.0,172548.0,146509.0,194990.0,142125.0,215541.0,122096.0,138719.0,114339.0,129899.0,200579.0,123392.0,120880.0,171781.0,116553.0,274290.0,71454.0,123031.0,63719.0,73725.0,166491.0,87620.0,69612.0,103509.0,71114.0,192092.0,46005.0,72455.0,46260.0,34787.0,125394.0,44466.0,44290.0,62327.0,44099.0,149232.0,36107.0,48283.0,28231.0,32595.0,52796.0,37391.0,25976.0,37876.0,25707.0,109775.0,18354.0,26794.0,17908.0,17799.0,45039.0,11473.0,17558.0,20210.0,17440.0,63400.0,8777.0,15327.0,6884.0,6860.0,21906.0,7876.0,3616.0,9733.0,5398.0,103968.0
1982,713300.0,2806500.0,0.0,0.0,0.0,3489400.0,0.0,0.0,0.0,0.0,4355800.0,0.0,0.0,0.0,0.0,4756500.0,0.0,0.0,0.0,0.0,4375600.0,0.0,0.0,0.0,0.0,3846000.0,0.0,0.0,0.0,0.0,3961400.0,0.0,0.0,0.0,0.0,3871600.0,0.0,0.0,0.0,0.0,3188900.0,0.0,0.0,0.0,0.0,3087100.0,0.0,0.0,0.0,0.0,3149400.0,0.0,0.0,0.0,0.0,3190300.0,0.0,0.0,0.0,0.0,3046100.0,0.0,0.0,0.0,0.0,2711700.0,0.0,0.0,0.0,0.0,2397400.0,0.0,0.0,0.0,0.0,1737900.0,0.0,0.0,0.0,0.0,1621000.0
1983,714900.0,2866700.0,0.0,0.0,0.0,3364200.0,0.0,0.0,0.0,0.0,4223800.0,0.0,0.0,0.0,0.0,4726300.0,0.0,0.0,0.0,0.0,4495300.0,0.0,0.0,0.0,0.0,3890900.0,0.0,0.0,0.0,0.0,3845600.0,0.0,0.0,0.0,0.0,4021100.0,0.0,0.0,0.0,0.0,3245100.0,0.0,0.0,0.0,0.0,3116500.0,0.0,0.0,0.0,0.0,3112900.0,0.0,0.0,0.0,0.0,3139200.0,0.0,0.0,0.0,0.0,3171600.0,0.0,0.0,0.0,0.0,2564800.0,0.0,0.0,0.0,0.0,2400900.0,0.0,0.0,0.0,0.0,1771600.0,0.0,0.0,0.0,0.0,1675900.0
1984,713200.0,2881300.0,0.0,0.0,0.0,3352800.0,0.0,0.0,0.0,0.0,4049700.0,0.0,0.0,0.0,0.0,4640300.0,0.0,0.0,0.0,0.0,4638800.0,0.0,0.0,0.0,0.0,3980100.0,0.0,0.0,0.0,0.0,3797400.0,0.0,0.0,0.0,0.0,4093300.0,0.0,0.0,0.0,0.0,3334400.0,0.0,0.0,0.0,0.0,3153100.0,0.0,0.0,0.0,0.0,3070300.0,0.0,0.0,0.0,0.0,3100200.0,0.0,0.0,0.0,0.0,3271800.0,0.0,0.0,0.0,0.0,2439700.0,0.0,0.0,0.0,0.0,2404700.0,0.0,0.0,0.0,0.0,1804200.0,0.0,0.0,0.0,0.0,1734400.0
1985,741800.0,2868600.0,0.0,0.0,0.0,3398300.0,0.0,0.0,0.0,0.0,3887900.0,0.0,0.0,0.0,0.0,4540000.0,0.0,0.0,0.0,0.0,4747000.0,0.0,0.0,0.0,0.0,4102800.0,0.0,0.0,0.0,0.0,3769700.0,0.0,0.0,0.0,0.0,4144200.0,0.0,0.0,0.0,0.0,3423600.0,0.0,0.0,0.0,0.0,3171100.0,0.0,0.0,0.0,0.0,3040800.0,0.0,0.0,0.0,0.0,3079000.0,0.0,0.0,0.0,0.0,3145500.0,0.0,0.0,0.0,0.0,2540000.0,0.0,0.0,0.0,0.0,2400200.0,0.0,0.0,0.0,0.0,1825900.0,0.0,0.0,0.0,0.0,1791500.0
1986,748900.0,2892700.0,0.0,0.0,0.0,3467300.0,0.0,0.0,0.0,0.0,3690000.0,0.0,0.0,0.0,0.0,4478900.0,0.0,0.0,0.0,0.0,4784300.0,0.0,0.0,0.0,0.0,4237200.0,0.0,0.0,0.0,0.0,3787100.0,0.0,0.0,0.0,0.0,4158200.0,0.0,0.0,0.0,0.0,3560700.0,0.0,0.0,0.0,0.0,3142300.0,0.0,0.0,0.0,0.0,3022800.0,0.0,0.0,0.0,0.0,3054900.0,0.0,0.0,0.0,0.0,3055500.0,0.0,0.0,0.0,0.0,2641100.0,0.0,0.0,0.0,0.0,2363500.0,0.0,0.0,0.0,0.0,1836800.0,0.0,0.0,0.0,0.0,1841100.0
1987,757700.0,747900.0,744000.0,716100.0,719600.0,719400.0,731100.0,736300.0,708800.0,653700.0,643400.0,672000.0,698600.0,723300.0,775900.0,825300.0,879800.0,869700.0,896800.0,905200.0,934600.0,947400.0,974900.0,973900.0,954100.0,932800.0,908000.0,870100.0,843000.0,818900.0,793800.0,774000.0,749900.0,761200.0,757800.0,744000.0,759200.0,781800.0,808700.0,863800.0,942400.0,741900.0,729200.0,735500.0,703600.0,644000.0,598500.0,634600.0,637800.0,635600.0,625500.0,616600.0,605400.0,586800.0,589200.0,606800.0,614900.0,613300.0,602100.0,593400.0,598400.0,603400.0,594900.0,594800.0,591000.0,615100.0,637400.0,656500.0,434900.0,405600.0,439900.0,460400.0,478300.0,466300.0,443500.0,414500.0,391300.0,372400.0,349600.0,321400.0,1926800.0
1988,779500.0,2968000.0,0.0,0.0,0.0,3619000.0,0.0,0.0,0.0,0.0,3394300.0,0.0,0.0,0.0,0.0,4249500.0,0.0,0.0,0.0,0.0,4727700.0,0.0,0.0,0.0,0.0,4495100.0,0.0,0.0,0.0,0.0,3892200.0,0.0,0.0,0.0,0.0,3847300.0,0.0,0.0,0.0,0.0,4005400.0,0.0,0.0,0.0,0.0,3209100.0,0.0,0.0,0.0,0.0,3054900.0,0.0,0.0,0.0,0.0,3000100.0,0.0,0.0,0.0,0.0,2940100.0,0.0,0.0,0.0,0.0,2865300.0,0.0,0.0,0.0,0.0,2165800.0,0.0,0.0,0.0,0.0,1860200.0,0.0,0.0,0.0,0.0,1991800.0
1989,770700.0,3037000.0,0.0,0.0,0.0,3632600.0,0.0,0.0,0.0,0.0,3384600.0,0.0,0.0,0.0,0.0,4078900.0,0.0,0.0,0.0,0.0,4650700.0,0.0,0.0,0.0,0.0,4618700.0,0.0,0.0,0.0,0.0,3971000.0,0.0,0.0,0.0,0.0,3795600.0,0.0,0.0,0.0,0.0,4074500.0,0.0,0.0,0.0,0.0,3300000.0,0.0,0.0,0.0,0.0,3093600.0,0.0,0.0,0.0,0.0,2964200.0,0.0,0.0,0.0,0.0,2910400.0,0.0,0.0,0.0,0.0,2957200.0,0.0,0.0,0.0,0.0,2064300.0,0.0,0.0,0.0,0.0,1871000.0,0.0,0.0,0.0,0.0,2061500.0
1990,775500.0,3065600.0,0.0,0.0,0.0,3649600.0,0.0,0.0,0.0,0.0,3429400.0,0.0,0.0,0.0,0.0,3918200.0,0.0,0.0,0.0,0.0,4554800.0,0.0,0.0,0.0,0.0,4719000.0,0.0,0.0,0.0,0.0,4086600.0,0.0,0.0,0.0,0.0,3767100.0,0.0,0.0,0.0,0.0,4123200.0,0.0,0.0,0.0,0.0,3386700.0,0.0,0.0,0.0,0.0,3113000.0,0.0,0.0,0.0,0.0,2937800.0,0.0,0.0,0.0,0.0,2896100.0,0.0,0.0,0.0,0.0,2841100.0,0.0,0.0,0.0,0.0,2166700.0,0.0,0.0,0.0,0.0,1871000.0,0.0,0.0,0.0,0.0,2109000.0
