"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Uzbekistan","2017","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2019","32388563","1"
"Uzbekistan","2017","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2019","693105","1"
"Uzbekistan","2017","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2019","3432985","1"
"Uzbekistan","2017","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2019","710096","1"
"Uzbekistan","2017","Total","Both Sexes","1 - 4","Estimate - de jure","Final figure, complete","2019","2739880","1"
"Uzbekistan","2017","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2019","706303","1"
"Uzbekistan","2017","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2019","678586","1"
"Uzbekistan","2017","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2019","644895","1"
"Uzbekistan","2017","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2019","625267","1"
"Uzbekistan","2017","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2019","3161368","1"
"Uzbekistan","2017","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2019","626954","1"
"Uzbekistan","2017","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2019","641984","1"
"Uzbekistan","2017","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2019","645304","1"
"Uzbekistan","2017","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2019","621859","1"
"Uzbekistan","2017","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2019","574644","1"
"Uzbekistan","2017","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2019","2660443","1"
"Uzbekistan","2017","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2019","535477","1"
"Uzbekistan","2017","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2019","526855","1"
"Uzbekistan","2017","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2019","514129","1"
"Uzbekistan","2017","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2019","509338","1"
"Uzbekistan","2017","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2019","510394","1"
"Uzbekistan","2017","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2019","2625778","1"
"Uzbekistan","2017","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2019","506345","1"
"Uzbekistan","2017","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2019","520185","1"
"Uzbekistan","2017","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2019","530386","1"
"Uzbekistan","2017","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2019","558468","1"
"Uzbekistan","2017","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2019","597672","1"
"Uzbekistan","2017","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2019","3136874","1"
"Uzbekistan","2017","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2019","627355","1"
"Uzbekistan","2017","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2019","631547","1"
"Uzbekistan","2017","Total","Both Sexes","23","Estimate - de jure","Final figure, complete","2019","630804","1"
"Uzbekistan","2017","Total","Both Sexes","24","Estimate - de jure","Final figure, complete","2019","649496","1"
"Uzbekistan","2017","Total","Both Sexes","25","Estimate - de jure","Final figure, complete","2019","663072","1"
"Uzbekistan","2017","Total","Both Sexes","25 - 29","Estimate - de jure","Final figure, complete","2019","3167393","1"
"Uzbekistan","2017","Total","Both Sexes","26","Estimate - de jure","Final figure, complete","2019","652057","1"
"Uzbekistan","2017","Total","Both Sexes","27","Estimate - de jure","Final figure, complete","2019","620955","1"
"Uzbekistan","2017","Total","Both Sexes","28","Estimate - de jure","Final figure, complete","2019","612061","1"
"Uzbekistan","2017","Total","Both Sexes","29","Estimate - de jure","Final figure, complete","2019","619248","1"
"Uzbekistan","2017","Total","Both Sexes","30","Estimate - de jure","Final figure, complete","2019","618398","1"
"Uzbekistan","2017","Total","Both Sexes","30 - 34","Estimate - de jure","Final figure, complete","2019","2831729","1"
"Uzbekistan","2017","Total","Both Sexes","31","Estimate - de jure","Final figure, complete","2019","601899","1"
"Uzbekistan","2017","Total","Both Sexes","32","Estimate - de jure","Final figure, complete","2019","570325","1"
"Uzbekistan","2017","Total","Both Sexes","33","Estimate - de jure","Final figure, complete","2019","535259","1"
"Uzbekistan","2017","Total","Both Sexes","34","Estimate - de jure","Final figure, complete","2019","505848","1"
"Uzbekistan","2017","Total","Both Sexes","35","Estimate - de jure","Final figure, complete","2019","487426","1"
"Uzbekistan","2017","Total","Both Sexes","35 - 39","Estimate - de jure","Final figure, complete","2019","2270453","1"
"Uzbekistan","2017","Total","Both Sexes","36","Estimate - de jure","Final figure, complete","2019","469830","1"
"Uzbekistan","2017","Total","Both Sexes","37","Estimate - de jure","Final figure, complete","2019","454941","1"
"Uzbekistan","2017","Total","Both Sexes","38","Estimate - de jure","Final figure, complete","2019","439831","1"
"Uzbekistan","2017","Total","Both Sexes","39","Estimate - de jure","Final figure, complete","2019","418425","1"
"Uzbekistan","2017","Total","Both Sexes","40","Estimate - de jure","Final figure, complete","2019","415376","1"
"Uzbekistan","2017","Total","Both Sexes","40 - 44","Estimate - de jure","Final figure, complete","2019","1989240","1"
"Uzbekistan","2017","Total","Both Sexes","41","Estimate - de jure","Final figure, complete","2019","411244","1"
"Uzbekistan","2017","Total","Both Sexes","42","Estimate - de jure","Final figure, complete","2019","391956","1"
"Uzbekistan","2017","Total","Both Sexes","43","Estimate - de jure","Final figure, complete","2019","384773","1"
"Uzbekistan","2017","Total","Both Sexes","44","Estimate - de jure","Final figure, complete","2019","385891","1"
"Uzbekistan","2017","Total","Both Sexes","45","Estimate - de jure","Final figure, complete","2019","381893","1"
"Uzbekistan","2017","Total","Both Sexes","45 - 49","Estimate - de jure","Final figure, complete","2019","1744705","1"
"Uzbekistan","2017","Total","Both Sexes","46","Estimate - de jure","Final figure, complete","2019","366160","1"
"Uzbekistan","2017","Total","Both Sexes","47","Estimate - de jure","Final figure, complete","2019","340361","1"
"Uzbekistan","2017","Total","Both Sexes","48","Estimate - de jure","Final figure, complete","2019","331106","1"
"Uzbekistan","2017","Total","Both Sexes","49","Estimate - de jure","Final figure, complete","2019","325185","1"
"Uzbekistan","2017","Total","Both Sexes","50","Estimate - de jure","Final figure, complete","2019","317859","1"
"Uzbekistan","2017","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2019","1585708","1"
"Uzbekistan","2017","Total","Both Sexes","51","Estimate - de jure","Final figure, complete","2019","320275","1"
"Uzbekistan","2017","Total","Both Sexes","52","Estimate - de jure","Final figure, complete","2019","318280","1"
"Uzbekistan","2017","Total","Both Sexes","53","Estimate - de jure","Final figure, complete","2019","315963","1"
"Uzbekistan","2017","Total","Both Sexes","54","Estimate - de jure","Final figure, complete","2019","313331","1"
"Uzbekistan","2017","Total","Both Sexes","55","Estimate - de jure","Final figure, complete","2019","311244","1"
"Uzbekistan","2017","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2019","1421340","1"
"Uzbekistan","2017","Total","Both Sexes","56","Estimate - de jure","Final figure, complete","2019","302746","1"
"Uzbekistan","2017","Total","Both Sexes","57","Estimate - de jure","Final figure, complete","2019","285414","1"
"Uzbekistan","2017","Total","Both Sexes","58","Estimate - de jure","Final figure, complete","2019","271102","1"
"Uzbekistan","2017","Total","Both Sexes","59","Estimate - de jure","Final figure, complete","2019","250834","1"
"Uzbekistan","2017","Total","Both Sexes","60","Estimate - de jure","Final figure, complete","2019","227395","1"
"Uzbekistan","2017","Total","Both Sexes","60 - 64","Estimate - de jure","Final figure, complete","2019","949659","1"
"Uzbekistan","2017","Total","Both Sexes","61","Estimate - de jure","Final figure, complete","2019","207106","1"
"Uzbekistan","2017","Total","Both Sexes","62","Estimate - de jure","Final figure, complete","2019","186469","1"
"Uzbekistan","2017","Total","Both Sexes","63","Estimate - de jure","Final figure, complete","2019","168519","1"
"Uzbekistan","2017","Total","Both Sexes","64","Estimate - de jure","Final figure, complete","2019","160170","1"
"Uzbekistan","2017","Total","Both Sexes","65","Estimate - de jure","Final figure, complete","2019","149444","1"
"Uzbekistan","2017","Total","Both Sexes","65 - 69","Estimate - de jure","Final figure, complete","2019","588343","1"
"Uzbekistan","2017","Total","Both Sexes","66","Estimate - de jure","Final figure, complete","2019","137197","1"
"Uzbekistan","2017","Total","Both Sexes","67","Estimate - de jure","Final figure, complete","2019","119304","1"
"Uzbekistan","2017","Total","Both Sexes","68","Estimate - de jure","Final figure, complete","2019","95669","1"
"Uzbekistan","2017","Total","Both Sexes","69","Estimate - de jure","Final figure, complete","2019","86729","1"
"Uzbekistan","2017","Total","Both Sexes","70","Estimate - de jure","Final figure, complete","2019","77059","1"
"Uzbekistan","2017","Total","Both Sexes","70 - 74","Estimate - de jure","Final figure, complete","2019","267585","1"
"Uzbekistan","2017","Total","Both Sexes","71","Estimate - de jure","Final figure, complete","2019","58989","1"
