year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80 +
1959,1392160.0,0.0,0.0,0.0,0.0,1059056.0,0.0,0.0,0.0,0.0,628425.0,0.0,0.0,0.0,0.0,634696.0,0.0,0.0,0.0,0.0,696593.0,0.0,0.0,0.0,0.0,672584.0,0.0,0.0,0.0,0.0,624991.0,0.0,0.0,0.0,0.0,378405.0,0.0,0.0,0.0,0.0,296678.0,0.0,0.0,0.0,0.0,322411.0,0.0,0.0,0.0,0.0,306193.0,0.0,0.0,0.0,0.0,340582.0,0.0,0.0,0.0,0.0,490375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60844.0
1970,1882045.0,0.0,0.0,0.0,0.0,1866440.0,0.0,0.0,0.0,0.0,1562133.0,0.0,0.0,0.0,0.0,1087363.0,0.0,0.0,0.0,0.0,687028.0,0.0,0.0,0.0,0.0,599217.0,0.0,0.0,0.0,0.0,788957.0,0.0,0.0,0.0,0.0,648071.0,0.0,0.0,0.0,0.0,622678.0,0.0,0.0,0.0,0.0,389872.0,0.0,0.0,0.0,0.0,274418.0,0.0,0.0,0.0,0.0,339462.0,0.0,0.0,0.0,0.0,632417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97578.0
1979,458997.0,463123.0,475589.0,459821.0,450176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55056.0
1989,669297.0,663323.0,656693.0,632144.0,594952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83816.0
1997,628508.0,654780.0,640979.0,653908.0,671747.0,684869.0,652329.0,626385.0,631964.0,641328.0,642843.0,629800.0,582347.0,546100.0,535566.0,518178.0,498894.0,480008.0,457868.0,445524.0,447843.0,435912.0,407847.0,408452.0,408580.0,404123.0,388349.0,361853.0,356349.0,334848.0,342931.0,343542.0,341587.0,341645.0,341552.0,341294.0,331802.0,320648.0,306860.0,273032.0,256780.0,232955.0,223819.0,206975.0,201336.0,193031.0,183972.0,146931.0,136992.0,129362.0,118349.0,90905.0,61808.0,67744.0,87845.0,115669.0,121747.0,131511.0,125685.0,115931.0,119554.0,104816.0,88165.0,86536.0,102449.0,89942.0,82633.0,86385.0,82959.0,75811.0,70915.0,55516.0,56213.0,48200.0,42936.0,35181.0,26850.0,26061.0,24263.0,20676.0,168301.0
1999,572054.0,606244.0,634963.0,639539.0,640194.0,661347.0,676872.0,667265.0,638111.0,631058.0,640416.0,641967.0,628940.0,599484.0,563040.0,534716.0,517369.0,496708.0,481392.0,466541.0,443968.0,438700.0,434127.0,414104.0,405391.0,405841.0,402337.0,386555.0,360359.0,350043.0,343454.0,336659.0,341017.0,340305.0,339333.0,339146.0,339633.0,334750.0,318848.0,305172.0,286080.0,262419.0,242510.0,222294.0,205418.0,199664.0,191359.0,180940.0,163004.0,135457.0,127746.0,116829.0,89677.0,67549.0,63461.0,86440.0,109528.0,119394.0,126726.0,124558.0,116361.0,113204.0,101900.0,85465.0,82213.0,89993.0,86935.0,79259.0,82711.0,81110.0,73678.0,67474.0,57417.0,53183.0,45448.0,37417.0,35408.0,27546.0,23665.0,22343.0,159678.0
2000,528542.0,535398.0,562813.0,602115.0,632480.0,637532.0,638379.0,659421.0,674963.0,665436.0,636185.0,628936.0,638311.0,639755.0,626748.0,597284.0,561042.0,531974.0,514272.0,494725.0,478076.0,462472.0,439646.0,434528.0,430138.0,409967.0,401463.0,401732.0,398062.0,382486.0,356400.0,346695.0,340218.0,333527.0,337622.0,336974.0,335879.0,335557.0,335965.0,330923.0,315054.0,301514.0,282461.0,259039.0,239109.0,218877.0,201880.0,196244.0,187918.0,177398.0,159289.0,131974.0,124317.0,113437.0,87013.0,65416.0,61297.0,83468.0,105462.0,114443.0,120822.0,118120.0,109923.0,106710.0,95709.0,79819.0,76527.0,83651.0,80536.0,72056.0,74539.0,73181.0,65729.0,60124.0,50649.0,46986.0,39580.0,32239.0,30642.0,22742.0,159435.0
2001,513043.0,523847.0,533342.0,561586.0,601088.0,631550.0,636619.0,637475.0,658453.0,673892.0,664362.0,635104.0,627878.0,637134.0,638544.0,625552.0,596102.0,558232.0,529736.0,512304.0,492480.0,475191.0,459763.0,437199.0,432201.0,427660.0,407678.0,399271.0,399569.0,396022.0,380323.0,354348.0,344805.0,338471.0,331610.0,335741.0,335093.0,333984.0,333653.0,333926.0,328759.0,313062.0,299541.0,280529.0,257166.0,237239.0,216933.0,200107.0,194382.0,185967.0,175344.0,157206.0,130094.0,122404.0,111600.0,85423.0,64213.0,60148.0,81906.0,103307.0,111637.0,117591.0,114795.0,106425.0,103249.0,92457.0,76565.0,73412.0,80075.0,77041.0,68053.0,70238.0,69081.0,61488.0,56370.0,47193.0,43659.0,36685.0,29559.0,28353.0,151246.0
2002,515902.0,508935.0,522039.0,532141.0,560560.0,600106.0,630565.0,635634.0,636449.0,657352.0,672763.0,663174.0,633927.0,626635.0,635825.0,637179.0,624298.0,593546.0,555584.0,527568.0,509657.0,489162.0,472218.0,457062.0,434587.0,429530.0,425090.0,405182.0,396928.0,397291.0,393735.0,378050.0,352167.0,342742.0,336427.0,329616.0,333729.0,333070.0,331966.0,331550.0,331731.0,326525.0,310936.0,297464.0,278495.0,255060.0,235084.0,214917.0,198006.0,192343.0,183834.0,173119.0,155007.0,128114.0,120380.0,109472.0,83714.0,62945.0,58953.0,80188.0,100934.0,108710.0,113988.0,111113.0,102743.0,99657.0,88732.0,73241.0,70179.0,76369.0,73328.0,64111.0,66042.0,64899.0,57249.0,52634.0,43638.0,40437.0,33770.0,26962.0,156869.0
2003,513943.0,511996.0,507090.0,520730.0,531022.0,559470.0,599034.0,629478.0,634544.0,635305.0,656177.0,671443.0,661951.0,632579.0,625284.0,634394.0,635844.0,622122.0,590525.0,553126.0,524904.0,506070.0,485752.0,469324.0,454232.0,431416.0,426697.0,422251.0,402522.0,394315.0,394919.0,391345.0,375677.0,349847.0,340527.0,334384.0,327517.0,331641.0,330996.0,329872.0,329391.0,329393.0,324230.0,308619.0,295297.0,276117.0,252704.0,232888.0,212659.0,195881.0,190147.0,181486.0,170773.0,152722.0,126026.0,118049.0,107197.0,81953.0,61585.0,57653.0,78291.0,98443.0,105477.0,110212.0,107308.0,98905.0,95882.0,85082.0,69969.0,66858.0,72526.0,69626.0,60124.0,61586.0,60672.0,53018.0,48794.0,40122.0,37205.0,30868.0,161661.0
